/home/xxwu/LLMGraphBench/LLMPredictor/../common/dataloader.py:6: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  graph_data = torch.load(f"../datasets/{dataset_name}.pt").to(device)
[0, 'AI', 'Agents']
[3, 'Software Engineering', 'DB (Databases)']
[4, 'Agents', 'Agents']
[5, 'AI', 'Agents']
[6, 'DB', 'DB (Databases)']
[7, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[8, 'AI', 'DB (Databases)']
[9, 'Agents', 'Agents']
[10, 'DB', 'DB (Databases)']
[12, 'AI', 'HCI (Human-Computer Interaction)']
[13, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[14, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[17, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[19, 'DB (Databases)', 'DB (Databases)']
[20, 'AI (Artificial Intelligence)', 'IR (Information Retrieval)']
[21, 'AI', 'HCI (Human-Computer Interaction)']
[22, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[23, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[24, 'AI', 'DB (Databases)']
[25, 'ML (Machine Learning)', 'ML (Machine Learning)']
[27, 'HCI', 'Agents']
[28, 'AI', 'Agents']
[30, 'DB', 'DB (Databases)']
[31, 'AI', 'HCI (Human-Computer Interaction)']
[32, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[34, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[36, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[37, 'AI', 'Agents']
[38, 'AI', 'ML (Machine Learning)']
[40, 'DB (Databases)', 'DB (Databases)']
[41, 'AI', 'HCI (Human-Computer Interaction)']
[42, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[44, 'DB', 'DB (Databases)']
[45, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[46, 'AI', 'ML (Machine Learning)']
[47, 'ML (Machine Learning)', 'ML (Machine Learning)']
[48, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[51, 'AI', 'Agents']
[52, 'AI (Artificial Intelligence)', 'IR (Information Retrieval)']
[53, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[54, 'DB', 'DB (Databases)']
[56, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[57, 'AI', 'DB (Databases)']
[58, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[59, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[61, 'Agents', 'Agents']
[63, 'ML (Machine Learning)', 'ML (Machine Learning)']
[67, 'DB', 'DB (Databases)']
[68, 'AI', 'HCI (Human-Computer Interaction)']
[70, 'Agents', 'DB (Databases)']
[72, 'DB', 'DB (Databases)']
[73, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[74, 'AI', 'HCI (Human-Computer Interaction)']
[75, 'AI (Artificial Intelligence)', 'AI (Artificial Intelligence)']
[77, 'HCI (Human-Computer Interaction)', 'DB (Databases)']
[78, 'AI', 'DB (Databases)']
[79, 'HCI (Human-Computer Interaction)', 'DB (Databases)']
[80, 'AI', 'DB (Databases)']
[81, 'Agents', 'Agents']
[82, 'AI', 'ML (Machine Learning)']
[83, 'DB', 'DB (Databases)']
[84, 'AI', 'Agents']
[85, 'AI', 'AI (Artificial Intelligence)']
[86, 'AI', 'ML (Machine Learning)']
[87, 'AI', 'IR (Information Retrieval)']
[88, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[89, 'AI', 'AI (Artificial Intelligence)']
[90, 'ML (Machine Learning)', 'ML (Machine Learning)']
[92, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[93, 'Agents', 'Agents']
[94, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[95, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[96, 'HCI', 'HCI (Human-Computer Interaction)']
[97, 'AI', 'HCI (Human-Computer Interaction)']
[98, 'DB (Databases)', 'DB (Databases)']
[101, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[102, 'Agents', 'Agents']
[103, 'AI', 'ML (Machine Learning)']
[104, 'DB', 'DB (Databases)']
[105, 'DB (Databases)', 'DB (Databases)']
[106, 'AI (Artificial Intelligence)', 'Agents']
[109, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[110, 'ML (Machine Learning)', 'ML (Machine Learning)']
[112, 'AI', 'DB (Databases)']
[113, 'DB (Databases)', 'IR (Information Retrieval)']
[114, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[116, 'Agents', 'IR (Information Retrieval)']
[117, 'AI', 'Agents']
[118, 'AI', 'IR (Information Retrieval)']
[119, 'AI', 'IR (Information Retrieval)']
[120, 'AI', 'HCI (Human-Computer Interaction)']
[121, 'HCI', 'HCI (Human-Computer Interaction)']
[122, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[123, 'DB', 'DB (Databases)']
[124, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[125, 'DB (Databases)', 'DB (Databases)']
[126, 'AI', 'DB (Databases)']
[127, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[130, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[131, 'DB', 'DB (Databases)']
[132, 'AI', 'Agents']
[133, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[134, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[135, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[136, 'DB (Databases)', 'DB (Databases)']
[137, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[139, 'AI', 'DB (Databases)']
[140, 'DB', 'HCI (Human-Computer Interaction)']
[141, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[142, 'AI', 'ML (Machine Learning)']
[144, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[145, 'AI', 'DB (Databases)']
[146, 'AI (Artificial Intelligence)', 'Agents']
[147, 'ML (Machine Learning)', 'ML (Machine Learning)']
[148, 'DB (Databases)', 'DB (Databases)']
[149, 'ML (Machine Learning)', 'ML (Machine Learning)']
[150, 'Agents', 'Agents']
[151, 'HCI', 'HCI (Human-Computer Interaction)']
[152, 'IR (Information Retrieval)', 'HCI (Human-Computer Interaction)']
[153, 'DB', 'DB (Databases)']
[154, 'AI', 'AI (Artificial Intelligence)']
[155, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[156, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[158, 'AI', 'AI (Artificial Intelligence)']
[159, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[160, 'AI (Artificial Intelligence)', 'Agents']
[161, 'AI', 'DB (Databases)']
[162, 'DB', 'DB (Databases)']
[163, 'HCI (Human-Computer Interaction)', 'ML (Machine Learning)']
[164, 'AI (Artificial Intelligence)', 'IR (Information Retrieval)']
[165, 'Agents', 'IR (Information Retrieval)']
[166, 'AI (Artificial Intelligence)', 'IR (Information Retrieval)']
[167, 'AI', 'ML (Machine Learning)']
[168, 'ML (Machine Learning)', 'ML (Machine Learning)']
[169, 'Agents', 'Agents']
[170, 'AI (Artificial Intelligence)', 'Agents']
[172, 'HCI', 'HCI (Human-Computer Interaction)']
[173, 'AI', 'Agents']
[174, 'DB', 'DB (Databases)']
[175, 'AI', 'Agents']
[176, 'DB (Databases)', 'DB (Databases)']
[177, 'AI (Artificial Intelligence)', 'AI (Artificial Intelligence)']
[178, 'DB', 'DB (Databases)']
[180, 'HCI (Human-Computer Interaction)', 'IR (Information Retrieval)']
[181, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[182, 'AI', 'DB (Databases)']
[183, 'AI', 'Agents']
[185, 'AI', 'Agents']
[186, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[187, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[188, 'AI', 'ML (Machine Learning)']
[189, 'AI (Artificial Intelligence)', 'AI (Artificial Intelligence)']
[190, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[191, 'ML (Machine Learning)', 'ML (Machine Learning)']
[192, 'AI', 'AI (Artificial Intelligence)']
[193, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[194, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[195, 'AI', 'ML (Machine Learning)']
[196, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[197, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[199, 'AI', 'Agents']
[200, 'Agents', 'HCI (Human-Computer Interaction)']
[201, 'DB', 'DB (Databases)']
[202, 'AI', 'AI (Artificial Intelligence)']
[203, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[204, 'DB', 'DB (Databases)']
[205, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[206, 'AI', 'DB (Databases)']
[207, 'AI', 'DB (Databases)']
[209, 'ML (Machine Learning)', 'ML (Machine Learning)']
[210, 'Agents', 'AI (Artificial Intelligence)']
[212, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[213, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[215, 'AI', 'ML (Machine Learning)']
[216, 'DB', 'DB (Databases)']
[217, 'AI', 'HCI (Human-Computer Interaction)']
[219, 'AI', 'AI (Artificial Intelligence)']
[220, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[221, 'Agents', 'Agents']
[222, 'IR (Information Retrieval)', 'DB (Databases)']
[223, 'Agents', 'Agents']
[224, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[225, 'ML (Machine Learning)', 'ML (Machine Learning)']
[227, 'AI', 'ML (Machine Learning)']
[228, 'DB', 'DB (Databases)']
[229, 'AI', 'Agents']
[230, 'DB', 'DB (Databases)']
[231, 'Agents', 'Agents']
[232, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[233, 'DB (Databases)', 'DB (Databases)']
[234, 'AI', 'Agents']
[235, 'AI', 'Agents']
[237, 'IR (Information Retrieval)', 'ML (Machine Learning)']
[238, 'DB (Databases)', 'DB (Databases)']
[240, 'AI (Artificial Intelligence)', 'Agents']
[241, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[242, 'DB', 'DB (Databases)']
[243, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[244, 'ML (Machine Learning)', 'ML (Machine Learning)']
[245, 'AI', 'Agents']
[246, 'Agents', 'HCI (Human-Computer Interaction)']
[248, 'AI', 'HCI (Human-Computer Interaction)']
[249, 'AI', 'HCI (Human-Computer Interaction)']
[250, 'AI', 'AI (Artificial Intelligence)']
[252, 'DB (Databases)', 'DB (Databases)']
[253, 'DB', 'DB (Databases)']
[254, 'DB (Databases)', 'DB (Databases)']
[255, 'AI', 'IR (Information Retrieval)']
[256, 'HCI (Human-Computer Interaction)', 'IR (Information Retrieval)']
[258, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[259, 'ML (Machine Learning)', 'ML (Machine Learning)']
[260, 'Agents', 'Agents']
[261, 'HCI', 'HCI (Human-Computer Interaction)']
[262, 'AI', 'DB (Databases)']
[263, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[265, 'AI', 'ML (Machine Learning)']
[266, 'AI', 'ML (Machine Learning)']
[267, 'AI', 'ML (Machine Learning)']
[268, 'AI', 'DB (Databases)']
[269, 'HCI', 'HCI (Human-Computer Interaction)']
[270, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[271, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[272, 'IR (Information Retrieval)', 'HCI (Human-Computer Interaction)']
[273, 'HCI (Human-Computer Interaction)', 'AI (Artificial Intelligence)']
[276, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[277, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[278, 'Agents', 'Agents']
[279, 'DB', 'DB (Databases)']
[280, 'DB', 'DB (Databases)']
[282, 'IR (Information Retrieval)', 'DB (Databases)']
[284, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[287, 'AI', 'AI (Artificial Intelligence)']
[288, 'DB', 'IR (Information Retrieval)']
[289, 'AI', 'IR (Information Retrieval)']
[290, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[291, 'DB', 'ML (Machine Learning)']
[293, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[296, 'ML (Machine Learning)', 'IR (Information Retrieval)']
